route_id,stop_id,stop_name,snapshot_local,sched_time,sched_eta_min,rt_time,rt_eta_min,rt_delay,ai_time,ai_eta_min,ai_delay,dist_m,speed
4.0,S00383,Sir John A Macdonald Blvd (north side of Princess),2026-01-14 18:31:58-05:00,2026-01-14 18:26:00-05:00,-5.97,2026-01-14 18:26:00-05:00,-5.97,0.0,2026-01-14 18:32:24-05:00,0.44,6.41,172.43,0.0
501.0,S00272,Barrie Street (south side of Princess),2026-01-14 18:31:58-05:00,2026-01-14 18:25:00-05:00,-6.97,2026-01-14 18:26:24-05:00,-5.57,1.4,2026-01-14 18:32:12-05:00,0.24,7.2,56.88,8.05
501.0,S09040,Sir John A Macdonald Blvd (north side of King),2026-01-14 18:31:58-05:00,2026-01-14 18:28:00-05:00,-3.97,2026-01-14 18:28:00-05:00,-3.97,0.0,2026-01-14 18:32:55-05:00,0.96,4.93,419.07,10.0
1.0,S00456,Yonge Street (north side of Union),2026-01-14 18:31:58-05:00,2026-01-14 18:26:00-05:00,-5.97,2026-01-14 18:28:41-05:00,-3.28,2.68,2026-01-14 18:32:02-05:00,0.08,6.04,100.36,13.88
802.0,S09238,Sutherland Drive (east side of Montreal),2026-01-14 18:31:58-05:00,2026-01-14 18:29:00-05:00,-2.97,2026-01-14 18:29:00-05:00,-2.97,0.0,2026-01-14 18:32:17-05:00,0.32,3.29,24.78,12.96
2.0,S00150,Joyce Street (north side of Guthrie),2026-01-14 18:31:58-05:00,2026-01-14 18:29:00-05:00,-2.97,2026-01-14 18:29:00-05:00,-2.97,0.0,2026-01-14 18:34:03-05:00,2.1,5.06,718.46,7.77
16.0,S00503,Kingston Centre Transfer Point Platform 6,2026-01-14 18:31:58-05:00,2026-01-14 18:29:00-05:00,-2.97,2026-01-14 18:29:00-05:00,-2.97,0.0,2026-01-14 18:32:05-05:00,0.12,3.09,71.56,9.44
702.0,S02060,290 Bath Road (south side),2026-01-14 18:31:58-05:00,2026-01-14 18:29:00-05:00,-2.97,2026-01-14 18:29:23-05:00,-2.58,0.38,2026-01-14 18:32:40-05:00,0.71,3.68,269.55,1.11
4.0,S00501,Kingston Centre Transfer Point Platform 2,2026-01-14 18:31:58-05:00,2026-01-14 18:30:00-05:00,-1.97,2026-01-14 18:30:00-05:00,-1.97,0.0,2026-01-14 18:32:16-05:00,0.3,2.27,4.88,0.0
502.0,S09015,Bayridge Centre (west side of Bayridge),2026-01-14 18:31:58-05:00,2026-01-14 18:30:00-05:00,-1.97,2026-01-14 18:30:00-05:00,-1.97,0.0,2026-01-14 18:32:18-05:00,0.33,2.3,66.94,0.0
1.0,S00226,Belle Park (east side of Montreal),2026-01-14 18:31:58-05:00,2026-01-14 18:29:00-05:00,-2.97,2026-01-14 18:30:08-05:00,-1.83,1.13,2026-01-14 18:32:14-05:00,0.27,3.24,163.51,12.5
11.0,S00506,Kingston Centre Transfer Point Platform 5,2026-01-14 18:31:58-05:00,2026-01-14 18:29:00-05:00,-2.97,2026-01-14 18:30:22-05:00,-1.6,1.37,2026-01-14 18:32:30-05:00,0.53,3.5,20.47,0.0
15.0,S09091,Bayridge Drive (south side of Hudson),2026-01-14 18:31:58-05:00,2026-01-14 18:31:00-05:00,-0.97,2026-01-14 18:31:00-05:00,-0.97,0.0,2026-01-14 18:32:16-05:00,0.31,1.28,123.84,10.27
602.0,S09225,Barrett Court (east side of Highway 15),2026-01-14 18:31:58-05:00,2026-01-14 18:31:00-05:00,-0.97,2026-01-14 18:31:00-05:00,-0.97,0.0,2026-01-14 18:33:24-05:00,1.44,2.4,869.48,11.11
801.0,S09240,Ordnance Street (west side of Montreal),2026-01-14 18:31:58-05:00,2026-01-14 18:31:00-05:00,-0.97,2026-01-14 18:31:00-05:00,-0.97,0.0,2026-01-14 18:32:44-05:00,0.77,1.74,551.96,12.75
701.0,S00292,Barrie Street (north side of Brock),2026-01-14 18:31:58-05:00,2026-01-14 18:31:00-05:00,-0.97,2026-01-14 18:31:00-05:00,-0.97,0.0,2026-01-14 18:32:16-05:00,0.31,1.28,101.79,8.61
7.0,S00727,93 Grant Timmins Drive (south side),2026-01-14 18:31:58-05:00,2026-01-14 18:30:00-05:00,-1.97,2026-01-14 18:31:36-05:00,-0.37,1.6,2026-01-14 18:32:18-05:00,0.34,2.31,185.2,10.55
2.0,S00292,Barrie Street (north side of Brock),2026-01-14 18:31:58-05:00,2026-01-14 18:33:00-05:00,1.03,2026-01-14 18:31:59-05:00,0.02,-1.02,2026-01-14 18:32:08-05:00,0.18,-0.86,23.69,7.77
10.0,S00873,Briscoe Street (east side of Sherwood),2026-01-14 18:31:58-05:00,2026-01-14 18:32:00-05:00,0.03,2026-01-14 18:32:00-05:00,0.03,0.0,2026-01-14 18:32:24-05:00,0.44,0.41,80.75,12.5
16.0,S00861,Seventh Avenue (west side of Kingscourt),2026-01-14 18:31:58-05:00,2026-01-14 18:32:00-05:00,0.03,2026-01-14 18:32:00-05:00,0.03,0.0,2026-01-14 18:32:13-05:00,0.25,0.22,128.55,8.05
7.0,S02081,Cataraqui Centre Transfer Point Platform 4,2026-01-14 18:31:58-05:00,2026-01-14 18:30:00-05:00,-1.97,,,,2026-01-14 18:32:27-05:00,0.5,2.46,2.39,0.0
22.0,S02080,Innovation Drive at Highway 15 (north side),2026-01-14 18:31:58-05:00,2026-01-14 18:35:00-05:00,3.03,,,,2026-01-14 18:32:27-05:00,0.5,-2.54,9.95,0.0
1.0,S02070,St. Lawrence College Transfer Point,2026-01-14 18:31:58-05:00,2026-01-14 18:35:00-05:00,3.03,,,,2026-01-14 18:32:27-05:00,0.5,-2.54,30.7,0.0
15.0,S02083,Cataraqui Centre Transfer Point Platform 6,2026-01-14 18:31:58-05:00,2026-01-14 18:30:00-05:00,-1.97,,,,2026-01-14 18:32:27-05:00,0.5,2.46,3.39,0.0
601.0,S02080,Innovation Drive at Highway 15 (north side),2026-01-14 18:31:58-05:00,2026-01-14 18:37:00-05:00,5.03,,,,2026-01-14 18:32:27-05:00,0.5,-4.54,10.23,0.0
